Record,Pedersen,Cycle,Year
urn:cite:chron:call.1,urn:cite:chron:pedersen.16,1,50
urn:cite:chron:call.2,urn:cite:chron:pedersen.41,3,36
urn:cite:chron:call.3,urn:cite:chron:pedersen.30,2,54
urn:cite:chron:call.4,urn:cite:chron:pedersen.43,3,43
urn:cite:chron:call.5,urn:cite:chron:pedersen.31,2,54
urn:cite:chron:call.6,urn:cite:chron:pedersen.44,3,43
urn:cite:chron:call.7,urn:cite:chron:pedersen.32,2,55
urn:cite:chron:call.8,urn:cite:chron:pedersen.45,3,43
urn:cite:chron:call.9,urn:cite:chron:pedersen.34,3,17
urn:cite:chron:call.10,urn:cite:chron:pedersen.47,3,50
urn:cite:chron:call.12,urn:cite:chron:pedersen.35,3,20
urn:cite:chron:call.13,urn:cite:chron:pedersen.36,3,21
urn:cite:chron:call.14,urn:cite:chron:pedersen.37,3,32
urn:cite:chron:call.15,urn:cite:chron:pedersen.38,3,32
urn:cite:chron:call.16,urn:cite:chron:pedersen.39,3,32
urn:cite:chron:call.17,urn:cite:chron:pedersen.40,3,33
