evidence,source,synchronization,synctype,target,units
urn:cts:greekLit:tlg9010.tlg001:epsilon.2898,urn:cite:chron:eratosthenes.A,contemporary,cycle,urn:cite:chron:olympiadyear.126_1,0
urn:cts:latinLit:stoa0162.stoa005:REFERENCE,urn:cite:chron:olympiadyear.126_1,contemporary,eponym,urn:cite:chron:j-alexandrians.ruler2,0
urn:cts:greekLit:tlg9010.tlg001:REFERENCE,urn:cite:chron:eratosthenes.A,contemporary,cycle,urn:cite:chron:olympiadyear.126_2,0
urn:cts:latinLit:stoa0162.stoa005:REFERENCE,urn:cite:chron:olympiadyear.126_2,contemporary,eponym,urn:cite:chron:j-alexandrians.ruler2,0
urn:cts:greekLit:tlg9010.tlg001:REFERENCE,urn:cite:chron:eratosthenes.A,contemporary,cycle,urn:cite:chron:olympiadyear.126_3,0
urn:cts:latinLit:stoa0162.stoa005:REFERENCE,urn:cite:chron:olympiadyear.126_3,contemporary,eponym,urn:cite:chron:j-alexandrians.ruler2,0
urn:cts:greekLit:tlg9010.tlg001:epsilon.2898,urn:cite:chron:eratosthenes.A,contemporary,cycle,urn:cite:chron:olympiadyear.126_4,0
urn:cts:latinLit:stoa0162.stoa005:REFERENCE,urn:cite:chron:olympiadyear.126_4,contemporary,eponym,urn:cite:chron:j-alexandrians.ruler2,0
urn:cts:greekLit:tlg0363.tlg001:REFERENCE,urn:cite:chron:j-alexandrians.ruler2,contmeporary,event,urn:cite:chron:pedersen.18,0
urn:cts:greekLit:tlg0363.tlg001:REFERENCE,urn:cite:chron:j-alexandrians.ruler2,contmeporary,event,urn:cite:chron:pedersen.19,0
urn:cts:greekLit:tlg0363.chs01:REFERENCE,urn:cite:chron:j-alexandrians.ruler3,follows,eponym,urn:cite:chron:j-alexandrians.ruler2,38
urn:cts:greekLit:tlg9010.tlg001:epsilon.2898,urn:cite:chron:eratosthenes.B,contemporary,eponym,urn:cite:chron:j-alexandrians.ruler3,0
urn:cts:greekLit:tlg1272.tlg002:1.7,urn:cite:chron:eratosthenes.C,follows,event,urn:cite:chron:eratosthenes.B,unknown
urn:cts:latinLit:stoa0162.stoa005:REFERENCE,urn:cite:chron:eratosthenes.D,contemporary,cycle,urn:cite:chron:olympiadyear.141_1,0
urn:cts:latinLit:stoa0162.stoa005:REFERENCE,urn:cite:chron:eratosthenes.D,contemporary,eponym,urn:cite:chron:j-alexandrians.ruler4,0
urn:cts:greekLit:tlg0363.chs01:REFERENCE,urn:cite:chron:j-alexandrians.ruler4,follows,eponym,urn:cite:chron:j-alexandrians.ruler3,25
urn:cts:greekLit:tlg9010.tlg001:epsilon.2898,urn:cite:chron:eratosthenes.E,follows,event,urn:cite:chron:eratosthenes.A,80
urn:cts:greekLit:tlg0363.chs01:REFERENCE,urn:cite:chron:j-alexandrians.ruler5,follows,eponym,urn:cite:chron:j-alexandrians.ruler4,17
