evidence,src,synchronization,synctype,target,units
urn:cts:chron:varia.epigramx,urn:cite:chron:milne.pharos,contemporary,event,urn:cite:chron:milne.sostratus,
urn:cts:greekLit:tlg0099.tlg001:17.1,urn:cite:chron:milne.pharos,contemporary,event,urn:cite:chron:milne.sostratus,
urn:cts:latinLit:stoa0232.stoa001:36.CHAPTER,urn:cite:chron:milne.pharos,contemporary,event,urn:cite:chron:milne.sostratus,
urn:cts:greekLit:tlg0062.tlg012:CHAPTER,urn:cite:chron:milne.pharos,contemporary,event,urn:cite:chron:milne.sostratus,
urn:cts:greekLit:tlg9010.tlg001:phi.114,urn:cite:chron:milne.pharos,contemporary,event,urn:cite:chron:milne.sostratus,
urn:cts:greekLit:tlg007.tlg030:SECTION,urn:cite:chron:milne.pyrros,contemporary,event,urn:cite:chron:j-alexandrians.ruler1,
urn:cts:latinLit:stoa0162.stoa005:124_1,urn:cite:chron:milne.pharos,contemporary,olympiad,urn:cite:chron:olympiadyear.124_1,
urn:cts:latinLit:stoa0162.stoa005:124_1,urn:cite:chron:j-alexandrians.ruler2,contemporary,olympiad,urn:cite:chron:olympiadyear.124_1,
urn:cts:latinLit:stoa0162.stoa005:114_1,urn:cite:chron:j-alexandrians.ruler1,contemporary,olympiad,urn:cite:chron:olympiadyear.114_1,
urn:cts:chron:varia.inscription_Delphi,urn:cite:chron:milne.posidippus,contemporary,event,urn:cite:chron:j-alexandrians.ruler2,
urn:cts:chron:varia.inscription_Thermon,urn:cite:chron:milne.posidippus,contemporary,event,urn:cite:chron:j-alexandrians.ruler2,
urn:cts:greekLit:tlg0099.tlg001:17.1,urn:cite:chron:milne.sostratus,contemporary,event,urn:cite:chron:j-alexandrians.ruler?,
urn:cts:latinLit:stoa0232.stoa001:36.CHAPTER,urn:cite:chron:milne.sostratus,contemporary,event,urn:cite:chron:j-alexandria.ruler? (don't know which one),
